Date,Price USDJPY,Price EURUSD,Price GBPJPY
4/7/2016,108.21,1.1378,152.106
4/6/2016,109.79,1.1399,155.061
4/5/2016,110.34,1.1384,156.243
4/4/2016,111.34,1.1391,158.811
,,,
4/1/2016,111.69,1.1391,158.898
3/31/2016,112.57,1.138,161.659
3/30/2016,112.43,1.1338,161.654
3/29/2016,112.7,1.1291,162.115
3/28/2016,113.45,1.1196,161.714
,,,
3/25/2016,113.08,1.1167,159.69
3/24/2016,112.9,1.1174,159.777
3/23/2016,112.38,1.1181,158.618
3/22/2016,112.37,1.1217,159.648
3/21/2016,111.95,1.1241,160.86
,,,
3/18/2016,111.55,1.127,161.473
3/17/2016,111.39,1.1318,161.315
3/16/2016,112.56,1.1224,160.507
3/15/2016,113.18,1.1109,160.142
3/14/2016,113.82,1.1103,162.79
,,,
3/11/2016,113.86,1.1156,163.769
3/10/2016,113.19,1.1177,161.647
3/9/2016,113.35,1.0999,161.148
3/8/2016,112.62,1.1011,160.102
3/7/2016,113.46,1.1014,161.865
,,,
3/4/2016,113.74,1.1005,161.855
3/3/2016,113.69,1.0957,161.201
3/2/2016,113.48,1.0868,159.755
3/1/2016,114.01,1.0868,159.07
2/29/2016,112.69,1.0873,156.831
,,,
2/26/2016,114,1.0934,158.214
2/25/2016,113,1.1018,157.768
2/24/2016,112.18,1.1013,156.24
2/23/2016,112.1,1.102,157.191
2/22/2016,112.92,1.103,159.755
,,,
2/19/2016,112.63,1.113,162.14
2/18/2016,113.24,1.1107,162.354
2/17/2016,114.1,1.1128,163.094
2/16/2016,114.07,1.1144,163.184
2/15/2016,114.6,1.1156,165.439
,,,
2/12/2016,113.25,1.1256,164.145
2/11/2016,112.42,1.1323,162.76
2/10/2016,113.35,1.1292,164.611
2/9/2016,115.11,1.1293,166.581
2/8/2016,115.85,1.1193,167.193
,,,
2/5/2016,116.87,1.1158,169.459
2/4/2016,116.78,1.1209,170.375
2/3/2016,117.9,1.1105,172.178
2/2/2016,119.97,1.0919,172.875
2/1/2016,120.99,1.0888,174.627
,,,
1/29/2016,121.14,1.0831,172.564
1/28/2016,118.82,1.094,170.648
1/27/2016,118.68,1.0893,168.921
1/26/2016,118.42,1.087,169.949
1/25/2016,118.3,1.0849,168.556
,,,
1/22/2016,118.78,1.0796,169.454
1/21/2016,117.7,1.0874,167.393
1/20/2016,116.94,1.089,165.955
1/19/2016,117.64,1.0908,166.548
1/18/2016,117.32,1.0892,167.11
,,,
1/15/2016,116.98,1.0916,166.708
1/14/2016,118.06,1.0865,170.154
1/13/2016,117.68,1.0877,169.538
1/12/2016,117.65,1.0858,169.959
1/11/2016,117.76,1.0859,171.251
,,,
1/8/2016,117.26,1.0922,170.29
1/7/2016,117.67,1.0932,172.005
1/6/2016,118.47,1.0781,173.329
1/5/2016,119.06,1.0748,174.722
1/4/2016,119.44,1.0831,175.781
,,,
1/1/2016,120.55,1.0856,178.354
12/31/2015,120.22,1.0862,177.175
12/30/2015,120.52,1.0933,178.573
12/29/2015,120.46,1.092,178.516
12/28/2015,120.4,1.0968,179.162
,,,
12/25/2015,120.33,1.096,179.57
12/24/2015,120.43,1.0963,179.559
12/23/2015,120.92,1.0912,179.816
12/22/2015,121.07,1.0957,179.521
12/21/2015,121.19,1.0915,180.391
,,,
12/18/2015,121.16,1.0868,180.556
12/17/2015,122.56,1.0826,182.617
12/16/2015,122.21,1.0912,183.359
12/15/2015,121.68,1.0931,182.985
12/14/2015,121.03,1.0992,183.272
,,,
12/11/2015,121.01,1.0986,183.769
12/10/2015,121.56,1.0941,184.293
12/9/2015,121.44,1.1025,184.361
12/8/2015,122.93,1.0892,184.502
12/7/2015,123.37,1.0837,185.744
,,,
12/4/2015,123.11,1.0881,186.044
12/3/2015,122.61,1.094,185.673
12/2/2015,123.24,1.0615,184.266
12/1/2015,122.87,1.0633,185.306
11/30/2015,123.11,1.0565,185.346
,,,
11/27/2015,122.8,1.0593,184.644
11/26/2015,122.57,1.061,185.116
11/25/2015,122.74,1.0624,185.702
11/24/2015,122.53,1.0643,184.823
11/23/2015,122.84,1.0636,185.779
,,,
11/20/2015,122.81,1.0646,186.592
11/19/2015,122.87,1.0734,187.882
11/18/2015,123.64,1.066,188.376
11/17/2015,123.45,1.0642,187.79
11/16/2015,123.18,1.0686,187.268
,,,
11/13/2015,122.61,1.0773,186.822
11/12/2015,122.61,1.0814,186.759
11/11/2015,122.86,1.0743,186.895
11/10/2015,123.15,1.0724,186.202
11/9/2015,123.18,1.0752,186.181
,,,
11/6/2015,123.13,1.0741,185.405
11/5/2015,121.75,1.0884,185.156
11/4/2015,121.57,1.0866,187.051
11/3/2015,121.07,1.0964,186.704
11/2/2015,120.76,1.1016,186.157
,,,
10/30/2015,120.62,1.1006,186.093
10/29/2015,121.13,1.0977,185.449
10/28/2015,121.09,1.0923,184.812
10/27/2015,120.46,1.1051,184.3
10/26/2015,121.1,1.1058,185.908
,,,
10/23/2015,121.47,1.1018,186.003
10/22/2015,120.69,1.1109,185.795
10/21/2015,119.93,1.1339,184.906
10/20/2015,119.84,1.1346,185.083
10/19/2015,119.5,1.1327,184.802
,,,
10/16/2015,119.44,1.1348,184.372
10/15/2015,118.9,1.1386,183.79
10/14/2015,118.83,1.1474,183.919
10/13/2015,119.75,1.1379,182.588
10/12/2015,120.04,1.1358,184.225
,,,
10/9/2015,120.27,1.1358,184.255
10/8/2015,119.93,1.1276,184.078
10/7/2015,120.01,1.1237,183.836
10/6/2015,120.23,1.1272,183.072
10/5/2015,120.46,1.1188,182.445
,,,
10/2/2015,119.91,1.1216,182.113
10/1/2015,119.93,1.1195,181.458
9/30/2015,119.88,1.1177,181.348
9/29/2015,119.74,1.1249,181.406
9/28/2015,119.92,1.1244,181.965
,,,
9/25/2015,120.59,1.1195,183.034
9/24/2015,120.07,1.123,183.013
9/23/2015,120.28,1.1186,183.362
9/22/2015,120.15,1.112,184.625
9/21/2015,120.56,1.119,186.94
,,,
9/18/2015,119.98,1.1298,186.341
9/17/2015,120.01,1.1435,187.105
9/16/2015,120.57,1.129,186.785
9/15/2015,120.42,1.1269,184.763
9/14/2015,120.23,1.1317,185.48
,,,
9/11/2015,120.59,1.1338,186.055
9/10/2015,120.62,1.128,186.314
9/9/2015,120.5,1.1207,185.191
9/8/2015,119.81,1.1203,184.467
9/7/2015,119.28,1.117,182.219
,,,
9/4/2015,118.99,1.1149,180.429
9/3/2015,120.07,1.1123,183.193
9/2/2015,120.33,1.1227,184.089
9/1/2015,119.37,1.1315,182.694
8/31/2015,121.23,1.1211,186.014
,,,
8/28/2015,121.71,1.1185,187.389
8/27/2015,121.03,1.1246,186.421
8/26/2015,119.92,1.1314,185.428
8/25/2015,118.83,1.1517,186.418
8/24/2015,118.41,1.1619,186.801
,,,
8/21/2015,122.04,1.1386,191.519
8/20/2015,123.4,1.1242,193.611
8/19/2015,123.8,1.112,194.112
8/18/2015,124.41,1.1024,194.831
8/17/2015,124.39,1.1078,193.872
,,,
8/14/2015,124.31,1.1109,194.403
8/13/2015,124.43,1.115,194.251
8/12/2015,124.21,1.1159,193.929
8/11/2015,125.13,1.1042,194.856
8/10/2015,124.63,1.1019,194.311
,,,
8/7/2015,124.24,1.0967,192.455
8/6/2015,124.74,1.0925,193.492
8/5/2015,124.87,1.0906,194.812
8/4/2015,124.38,1.0881,193.585
8/3/2015,124.03,1.095,193.328
,,,
7/31/2015,123.89,1.0984,193.57
7/30/2015,124.14,1.0932,193.686
7/29/2015,123.94,1.0984,193.336
7/28/2015,123.56,1.106,192.914
7/27/2015,123.25,1.1088,191.762
,,,
7/24/2015,123.81,1.0984,191.918
7/23/2015,123.93,1.0984,192.245
7/22/2015,123.97,1.0929,193.552
7/21/2015,123.89,1.0935,192.727
7/20/2015,124.27,1.0825,193.411
,,,
7/17/2015,124.09,1.083,193.531
7/16/2015,124.15,1.0875,193.802
7/15/2015,123.76,1.095,193.552
7/14/2015,123.4,1.1009,192.951
7/13/2015,123.43,1.1002,191.145
,,,
7/10/2015,122.78,1.1162,190.501
7/9/2015,121.34,1.1036,186.621
7/8/2015,120.71,1.1077,185.417
7/7/2015,122.54,1.1011,189.458
7/6/2015,122.57,1.1056,191.281
,,,
7/3/2015,122.79,1.1114,191.177
7/2/2015,123.07,1.1084,192.099
7/1/2015,123.17,1.1053,192.361
6/30/2015,122.5,1.1147,192.465
6/29/2015,122.54,1.1236,192.846
,,,
6/26/2015,123.85,1.1167,195.077
6/25/2015,123.63,1.1205,194.672
6/24/2015,123.85,1.1205,194.516
6/23/2015,123.94,1.1167,194.952
6/22/2015,123.37,1.1341,195.219
,,,
6/19/2015,122.71,1.1352,194.901
6/18/2015,122.96,1.1359,195.264
6/17/2015,123.43,1.1337,195.425
6/16/2015,123.36,1.1248,193.038
6/15/2015,123.42,1.1283,192.542
,,,
6/12/2015,123.39,1.1266,191.994
6/11/2015,123.42,1.1258,191.514
6/10/2015,122.68,1.1324,190.514
6/9/2015,124.34,1.1283,191.304
6/8/2015,124.49,1.1291,191.071
,,,
6/5/2015,125.63,1.1114,191.85
6/4/2015,124.36,1.1238,191.078
6/3/2015,124.25,1.1275,190.601
6/2/2015,124.11,1.1151,190.443
6/1/2015,124.77,1.0927,189.677
,,,
5/29/2015,124.15,1.0986,189.84
5/28/2015,123.95,1.0949,189.84
5/27/2015,123.66,1.0904,189.868
5/26/2015,123.1,1.0873,189.383
5/25/2015,121.56,1.0978,188.053
,,,
5/22/2015,121.54,1.1013,188.261
5/21/2015,121.04,1.1112,189.565
5/20/2015,121.35,1.1094,188.516
5/19/2015,120.69,1.115,187.238
5/18/2015,119.99,1.1315,187.806
,,,
5/15/2015,119.25,1.1451,187.563
5/14/2015,119.18,1.141,188.004
5/13/2015,119.15,1.1354,187.595
5/12/2015,119.87,1.1213,187.846
5/11/2015,120.08,1.1155,187.155
,,,
5/8/2015,119.76,1.1199,185.088
5/7/2015,119.74,1.1267,182.516
5/6/2015,119.46,1.1347,182.129
5/5/2015,119.86,1.1185,181.958
5/4/2015,120.13,1.1146,181.635
,,,
5/1/2015,120.15,1.1199,181.995
4/30/2015,119.38,1.1224,183.257
4/29/2015,119.02,1.1128,183.735
4/28/2015,118.86,1.0981,182.32
4/27/2015,119.04,1.0891,181.385
,,,
4/24/2015,118.99,1.0873,180.736
4/23/2015,119.58,1.0824,180.06
4/22/2015,119.91,1.0725,180.307
4/21/2015,119.67,1.0736,178.615
4/20/2015,119.18,1.0738,177.647
,,,
4/17/2015,118.9,1.0806,177.864
4/16/2015,119.02,1.0761,177.74
4/15/2015,119.14,1.0684,176.824
4/14/2015,119.4,1.0655,176.473
4/13/2015,120.13,1.0567,176.29
,,,
4/10/2015,120.22,1.0604,175.905
4/9/2015,120.58,1.0659,177.406
4/8/2015,120.13,1.0781,178.593
4/7/2015,120.28,1.0814,178.113
4/6/2015,119.54,1.0922,177.864
,,,
4/3/2015,118.97,1.0969,177.499
4/2/2015,119.72,1.088,177.526
4/1/2015,119.76,1.0763,177.519
3/31/2015,120.13,1.0731,177.998
3/30/2015,120.07,1.0833,177.832
,,,
3/27/2015,119.13,1.0889,177.368
3/26/2015,119.19,1.0884,176.98
3/25/2015,119.49,1.097,177.802
3/24/2015,119.76,1.0924,177.847
3/23/2015,119.73,1.0946,179.023
,,,
3/20/2015,120.04,1.0821,179.444
3/19/2015,120.78,1.066,178.188
3/18/2015,120.11,1.0864,179.914
3/17/2015,121.37,1.0597,178.999
3/16/2015,121.34,1.0568,179.923
,,,
3/13/2015,121.4,1.0496,178.992
3/12/2015,121.29,1.0635,180.513
3/11/2015,121.45,1.0547,181.329
3/10/2015,121.13,1.0698,182.545
3/9/2015,121.15,1.0852,183.28
,,,
3/6/2015,120.83,1.0844,181.691
3/5/2015,120.13,1.103,183.087
3/4/2015,119.68,1.1078,182.689
3/3/2015,119.73,1.1176,183.921
3/2/2015,120.13,1.1184,184.596
,,,
2/27/2015,119.63,1.1196,184.681
2/26/2015,119.41,1.1198,183.974
2/25/2015,118.86,1.1361,184.566
2/24/2015,118.97,1.134,183.854
2/23/2015,118.81,1.1335,183.645
,,,
2/20/2015,119.03,1.1381,183.303
2/19/2015,118.95,1.1368,183.35
2/18/2015,118.79,1.1397,183.352
2/17/2015,119.25,1.1411,183.091
2/16/2015,118.48,1.1355,182.021
,,,
2/13/2015,118.75,1.1394,182.819
2/12/2015,119.11,1.1403,183.24
2/11/2015,120.46,1.1336,183.551
2/10/2015,119.43,1.1321,182.18
2/9/2015,118.64,1.1325,180.513
,,,
2/6/2015,119.12,1.1316,181.544
2/5/2015,117.53,1.1477,180.144
2/4/2015,117.28,1.1345,178.031
2/3/2015,117.57,1.1481,178.309
2/2/2015,117.57,1.1341,176.831
,,,
1/30/2015,117.49,1.1291,176.999
1/29/2015,118.29,1.132,178.228
1/28/2015,117.54,1.1287,177.924
1/27/2015,117.87,1.1381,179.124
1/26/2015,118.46,1.1238,178.61
,,,
1/23/2015,117.77,1.1204,176.536
1/22/2015,118.49,1.1366,177.861
1/21/2015,117.97,1.161,178.626
1/20/2015,118.82,1.155,179.944
1/19/2015,117.56,1.1606,177.668
,,,
1/16/2015,117.51,1.1567,178.116
1/15/2015,116.17,1.1633,176.371
1/14/2015,117.33,1.1789,178.734
1/13/2015,117.93,1.1773,178.79
1/12/2015,118.35,1.1834,179.556
,,,
1/9/2015,118.5,1.1842,179.647
1/8/2015,119.66,1.1793,180.558
1/7/2015,119.26,1.1839,180.201
1/6/2015,118.39,1.189,179.374
1/5/2015,119.64,1.1933,182.437
,,,
1/2/2015,120.5,1.2002,184.698
1/1/2015,119.74,1.2104,186.63
12/31/2014,119.78,1.2098,186.576
12/30/2014,119.48,1.2156,185.921
12/29/2014,120.67,1.2152,187.236
,,,
12/26/2014,120.31,1.2183,187.182
12/25/2014,120.1,1.2225,186.776
12/24/2014,120.51,1.2196,187.477
12/23/2014,120.69,1.2172,187.314
12/22/2014,120.05,1.223,187.152
,,,
12/19/2014,119.5,1.2229,186.624
12/18/2014,118.84,1.2286,186.219
12/17/2014,118.65,1.2342,184.787
12/16/2014,116.41,1.2511,183.342
12/15/2014,117.82,1.2437,184.247
,,,
12/12/2014,118.75,1.2462,186.667
12/11/2014,118.65,1.2411,186.656
12/10/2014,117.82,1.2448,185.161
12/9/2014,119.69,1.2374,187.521
12/8/2014,120.69,1.2317,188.911
,,,
